Name,WikidataID
Abbey,Q18199985
Abbi,Q69498201
Abbie,Q20830295
Abbon,Q109925848
Abbondanza,Q3603316
Abbondanzia,Q104622775
Abbondanzio,Q3603318
Abbondazio,Q104613645
Abbondia,Q104622783
Abbondina,Q104622774
Abbondino,Q25030457
Abbondio,Q19796101
Abbone,Q56260871
Abbontiu,Q19796102
Abbos (ism),Q1158601
Abbott,Q54877573
Abbud,Q116363997
Abbudin,Q116363998
Abby,Q20898917
Abbàs,Q19825038
Abbàs,Q1158601
Abbás,Q479503
Abbès,Q19915129
Abbé,Q98651207
Abcde,Q19901913
Abd,Q100252212
Abd Al-Maqsoud,Q113572026
Abd Manaf,Q4664549
Abd Rabbo,Q4664544
Abd Shams,Q11903713
Abd al-Ahad,Q54670701
Abd al-Akram,Q11903764
Abd al-Ala,Q11903721
Abd al-Amir,Q11903722
Abd al-Azim,Q2511172
Abd al-Aziz,Q13422889
Abd al-Aziz,Q10761018
Abd al-Barr,Q21081499
Abd al-Dayyan,Q11903714
Abd al-Ghafir,Q11903728
Abd al-Ghafur,Q11903726
Abd al-Hafidh,Q21081501
Abd al-Hakam,Q11903735
Abd al-Hakim,Q4665376
Abd al-Hamid,Q13422873
Abd al-Hassib,Q11903730
Abd al-Hussein,Q108509434
Abd al-Ilah,Q11903732
Abd al-Kaba,Q21081504
Abd al-Kabir,Q11903734
Abd al-Kadir,Q317520
Abd al-Karím,Q317304
Abd al-Khabir,Q11903737
Abd al-Kuddús,Q4665616
Abd al-Madan,Q21081505
Abd al-Mahdi,Q11903738
Abd al-Malik,Q11903739
Abd al-Malik,Q307288
Abd al-Masih,Q92832248
Abd al-Mawla,Q11903740
Abd al-Muhsin,Q106878496
Abd al-Mujib,Q11903742
Abd al-Mumin,Q11903741
Abd al-Mumin,Q104464135
Abd al-Muqit,Q21081514
Abd al-Musawir,Q11903744
Abd al-Mutaali,Q21081516
Abd al-Nasir,Q11903765
Abd al-Nassir,Q11903768
Abd al-Qabid,Q11903756
