Abbreviation
Alb.
Albr.
Alex.
Alf.
Alfr.
Alph.
Andr.
Ant.
Arth.
Aug.
Bend.
Bernh.
Christ.
Edm.
Elisab.
Eug.
Ferd.
Fried.
Friedr.
Gottf.
Gottfr.
Gottl.
Gust.
Hedw.
Heinr.
Jak.
Joh.
Jos.
Jul.
Kasp.
Kath.
Konr.
Ludw.
Marg.
Margar.
Margr.
Math.
Nikl.
Osk.
Phil.
Reinh.
Rob.
Rud.
Sam.
Theod.
Ulr.
Wilh.
Willi.
