Date;Year;VolumeID;ChapterTitle;ChapterID
1937-12-05;1938;26023017;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140328
1937-12-05;1938;26023017;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140330
1938-12-15;1939;26024601;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140378
1938-12-15;1939;26024601;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140379
1939-12-31;1940;26026177;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140412
1939-12-31;1940;26026177;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140413
1940-12-15;1941;26027816;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140522
1940-12-15;1941;26027816;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140524
1941-12-15;1942;26029473;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140602
1941-12-15;1942;26029473;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140603
1942-12-15;1943;26031163;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140683
1942-12-15;1943;26031163;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140685
1943-12-15;1944;26032914;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26140719
1943-12-15;1944;26032914;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26140733
1944-12-15;1945;26034710;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern.;26163699
1944-12-15;1945;26034710;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz.;26163721
